slug,audit_before_rating,new_advisory_review_rating,after_status,action,body_changed,hold_reason
gh-mattsurabian-duckhunt-js,1,,retired,archived-recoverably,False,
gh-mauricenino-dashdot,1,,retired,archived-recoverably,False,
gh-mickasmt-next-saas-stripe-starter,1,,retired,archived-recoverably,False,
gh-microsoft-rd-agent,1,,retired,archived-recoverably,False,
gh-microsoft-static-web-apps-examples,1,,retired,archived-recoverably,False,
gh-microwawe-mamba-ui,1,,retired,archived-recoverably,False,
gh-mishushakov-signin-with-matrix,1,,retired,archived-recoverably,False,
gh-mixcore-mix-core,1,,retired,archived-recoverably,False,
gh-mlflow-mlflow,1,,retired,archived-recoverably,False,
gh-modmail-dev-modmail,1,,retired,archived-recoverably,False,
gh-modsetter-surfsense,1,,retired,archived-recoverably,False,
gh-mpld3-mpld3,1,,retired,archived-recoverably,False,
gh-mui-material-ui,1,,retired,archived-recoverably,False,
gh-nanobrowser-nanobrowser,1,,retired,archived-recoverably,False,
gh-nextacular-nextacular,1,,retired,archived-recoverably,False,
gh-nextjstemplates-openai-nextjs-starter,1,,retired,archived-recoverably,False,
gh-nextjstemplates-play-nextjs,1,,retired,archived-recoverably,False,
gh-nickqizhu-d3-cookbook,1,,retired,archived-recoverably,False,
gh-nirdiamant-genai-agents,1,,retired,archived-recoverably,False,
gh-nteract-semiotic,1,,retired,archived-recoverably,False,
gh-occult-pagode,1,,retired,archived-recoverably,False,
gh-ohmyzsh-ohmyzsh,1,,retired,archived-recoverably,False,
gh-openai-gpt-discord-bot,1,,retired,archived-recoverably,False,
gh-opuscapita-filemanager,1,,retired,archived-recoverably,False,
gh-oxylabs-oxylabs-ai-studio-py,1,,retired,archived-recoverably,False,
gh-oxylabs-quick-start-guide,1,,retired,archived-recoverably,False,
gh-panniantong-agent-reach,1,,retired,archived-recoverably,False,
gh-pavelzbornik-whisperx-fastapi,1,,retired,archived-recoverably,False,
gh-pdsuwwz-nextjs-nextra-starter,1,,retired,archived-recoverably,False,
gh-pemistahl-grex,1,,retired,archived-recoverably,False,
gh-phaserjs-phaser,1,,retired,archived-recoverably,False,
gh-pixijs-pixijs,1,,retired,archived-recoverably,False,
gh-plotly-dash,1,,retired,archived-recoverably,False,
gh-plouc-nivo,1,,retired,archived-recoverably,False,
gh-pmav-game-of-life,1,,retired,archived-recoverably,False,
gh-prazzon-flexbox-labs,1,,retired,archived-recoverably,False,
gh-primefaces-primereact,1,,retired,archived-recoverably,False,
gh-pydoit-doit,1,,retired,archived-recoverably,False,
gh-radix-ui-themes,1,,retired,archived-recoverably,False,
gh-rapptz-discord-py,1,,retired,archived-recoverably,False,
gh-rclement-mailer,1,,retired,archived-recoverably,False,
gh-rcourtman-pulse,1,,retired,archived-recoverably,False,
gh-react95-io-react95,1,,retired,archived-recoverably,False,
gh-react95-react95,1,,retired,archived-recoverably,False,
gh-readbeyond-aeneas,1,,retired,archived-recoverably,False,
gh-reaviz-reaviz,1,,retired,archived-recoverably,False,
gh-refinedev-refine,1,,retired,archived-recoverably,False,
gh-reworkd-agentgpt,1,,retired,archived-recoverably,False,
gh-robswc-tradingview-webhooks-bot,1,,retired,archived-recoverably,False,
gh-rodrigogs-whats-reader,1,,retired,archived-recoverably,False,
gh-ryfinez-codex-session-patcher,1,,retired,archived-recoverably,False,
gh-s3tools-s3cmd,1,,retired,archived-recoverably,False,
gh-simstudioai-sim,1,,retired,archived-recoverably,False,
gh-sunhailin-leo-fastapi-profiler,1,,retired,archived-recoverably,False,
gh-tach-org-tach,1,,retired,archived-recoverably,False,
gh-tamagui-tamagui,1,,retired,archived-recoverably,False,
gh-thatonecalculator-among-us-dumpy-gif-maker,1,,retired,archived-recoverably,False,
gh-tirth8205-code-review-graph,1,,retired,archived-recoverably,False,
gh-tox-dev-tox,1,,retired,archived-recoverably,False,
gh-tremorlabs-tremor,1,,retired,archived-recoverably,False,
gh-tremorlabs-tremor-npm,1,,retired,archived-recoverably,False,
gh-triggerdotdev-trigger-dev,1,,retired,archived-recoverably,False,
gh-wanshuiyin-auto-claude-code-research-in-sleep,1,,retired,archived-recoverably,False,
gh-waooai-waoowaoo,1,,retired,archived-recoverably,False,
gh-watscho-express-mongodb-rest-api-boilerplate,1,,retired,archived-recoverably,False,
gh-weijunext-nextjs-starter,1,,retired,archived-recoverably,False,
gh-wix-react-native-ui-lib,1,,retired,archived-recoverably,False,
gh-ycd-universities,1,,retired,archived-recoverably,False,
gh-yeachan-heo-oh-my-claudecode,1,,retired,archived-recoverably,False,
gh-yooooomi-your-spotify,1,,retired,archived-recoverably,False,
gh-zach-hopkins-create-t3svelte-app,1,,retired,archived-recoverably,False,
pattern-cli-5975fdb63151f9f9,1,,retired,archived-recoverably,False,
pattern-phaser-37e2d6d6660de538,1,,retired,archived-recoverably,False,
pattern-python-c4d91704f91ae7cb,1,,retired,archived-recoverably,False,
pattern-static-58dfd224694fd941,1,,retired,archived-recoverably,False,
pattern-tauri-39e05bdd825fcd90,1,,retired,archived-recoverably,False,
mcp-implementation-and-evaluation,,5,active,added,,
postgres-query-and-schema-engineering,,5,active,added,,
expo-native-interface,,4,active,added,,
browser-proof-with-playwright,,5,active,added,,
expo-native-networking,,5,active,added,,
nextjs-framework-browser-proof,,4,active,added,,
rag-retrieval-and-grounding-evaluation,,4,active,added,,
swift-async-state-and-test-isolation,,4,active,added,,
